RMI,0,174.868,402653216,0,BinarySearch,books_200M_uint32
RMI,1,193.202,201326624,0,BinarySearch,books_200M_uint32
RMI,2,205.052,100663328,0,BinarySearch,books_200M_uint32
RMI,3,236.206,41943040,0,BinarySearch,books_200M_uint32
RMI,4,229.077,12582944,0,BinarySearch,books_200M_uint32
RMI,5,244.063,6291488,0,BinarySearch,books_200M_uint32
RMI,6,257.223,3145760,0,BinarySearch,books_200M_uint32
RMI,7,285.058,786464,0,BinarySearch,books_200M_uint32
RMI,8,399.35,24608,0,BinarySearch,books_200M_uint32
RMI,9,469.277,3088,0,BinarySearch,books_200M_uint32
RS,10,215.712,1397279468,3931241838,BinarySearch,books_200M_uint32
RS,9,232.589,292048236,2766953336,BinarySearch,books_200M_uint32
RS,8,239.307,84595292,2290143132,BinarySearch,books_200M_uint32
RS,7,237.814,75115916,2174903082,BinarySearch,books_200M_uint32
RS,6,246.51,37468732,1969577257,BinarySearch,books_200M_uint32
RS,5,266.865,6448908,1811475682,BinarySearch,books_200M_uint32
RS,4,272.494,3544140,1685861106,BinarySearch,books_200M_uint32
RS,3,299.554,796636,1541286617,BinarySearch,books_200M_uint32
RS,2,331.262,384492,1494847076,BinarySearch,books_200M_uint32
RS,1,337.359,384492,1498101959,BinarySearch,books_200M_uint32
PGM,16,313.773,11703200,7776646157,BinarySearch,books_200M_uint32
PGM,4,262.471,70640688,9759234213,BinarySearch,books_200M_uint32
PGM,8,282.847,29643568,8542770129,BinarySearch,books_200M_uint32
PGM,32,342.353,4119136,6706017074,BinarySearch,books_200M_uint32
PGM,64,387.476,1293168,5869276708,BinarySearch,books_200M_uint32
PGM,256,423.29,97760,4992662606,BinarySearch,books_200M_uint32
PGM,1024,520.543,7552,4648468844,BinarySearch,books_200M_uint32
PGM,2048,569.056,3312,4661211693,BinarySearch,books_200M_uint32
PGM,4096,629.426,1904,4722254197,BinarySearch,books_200M_uint32
PGM,8192,621.429,1152,4829082301,BinarySearch,books_200M_uint32
BTree,32,537.354,87075880,43629298,BinarySearch,books_200M_uint32
BTree,1,645.023,2786395632,2174828024,BinarySearch,books_200M_uint32
BTree,4,579.973,696599768,501205191,BinarySearch,books_200M_uint32
BTree,16,525.09,174150608,82847307,BinarySearch,books_200M_uint32
BTree,64,553.901,43538112,16016560,BinarySearch,books_200M_uint32
BTree,128,562.222,21769360,7733867,BinarySearch,books_200M_uint32
BTree,512,556.504,5443072,1730065,BinarySearch,books_200M_uint32
BTree,1024,585.443,2721576,796636,BinarySearch,books_200M_uint32
BTree,4096,655.435,680928,174685,BinarySearch,books_200M_uint32
BTree,16384,777.182,170960,51982,BinarySearch,books_200M_uint32
BTree,65536,899.757,43072,20564,BinarySearch,books_200M_uint32
BTree,262144,1019.8,11232,7090,BinarySearch,books_200M_uint32
IBTree,1,475.433,2421989256,1720459269,BinarySearch,books_200M_uint32
IBTree,32,498.703,75693848,407611228,BinarySearch,books_200M_uint32
IBTree,64,482.603,37850024,229634007,BinarySearch,books_200M_uint32
IBTree,128,466.138,18926568,193944865,BinarySearch,books_200M_uint32
IBTree,256,462.295,9464840,195825922,BinarySearch,books_200M_uint32
IBTree,512,482.741,4733976,159102055,BinarySearch,books_200M_uint32
IBTree,1024,510.104,2368544,138510943,BinarySearch,books_200M_uint32
IBTree,2048,545.03,1188920,127887237,BinarySearch,books_200M_uint32
IBTree,4096,622.518,592920,122054189,BinarySearch,books_200M_uint32
IBTree,8192,667.942,299560,120147162,BinarySearch,books_200M_uint32
FAST,1,533.891,1706666880,8124171377,BinarySearch,books_200M_uint32
FAST,16,496.441,106666880,509968154,BinarySearch,books_200M_uint32
FAST,256,503.698,6666880,25477584,BinarySearch,books_200M_uint32
FAST,512,522.602,3333632,11183582,BinarySearch,books_200M_uint32
FAST,768,533.788,2222592,7268123,BinarySearch,books_200M_uint32
FAST,1024,550.888,1666944,5597002,BinarySearch,books_200M_uint32
FAST,1526,580.32,1118592,3628058,BinarySearch,books_200M_uint32
FAST,2048,593.793,833664,2759562,BinarySearch,books_200M_uint32
FAST,4096,623.371,416768,1437608,BinarySearch,books_200M_uint32
FAST,8192,678.997,208512,709156,BinarySearch,books_200M_uint32
ALEX,1,304.855,3464563660,86025241709,BinarySearch,books_200M_uint32
ALEX,4,288.398,866299516,17157557192,BinarySearch,books_200M_uint32
ALEX,8,284.2,433219884,6804476516,BinarySearch,books_200M_uint32
ALEX,16,306.905,216669964,2624886280,BinarySearch,books_200M_uint32
ALEX,32,377.039,108407724,1150484345,BinarySearch,books_200M_uint32
ALEX,64,404.685,54274284,512545138,BinarySearch,books_200M_uint32
ALEX,128,438.934,27207040,231416017,BinarySearch,books_200M_uint32
ALEX,256,453.729,13610220,100829410,BinarySearch,books_200M_uint32
ALEX,512,472.801,6844340,48569902,BinarySearch,books_200M_uint32
ALEX,1024,499.359,3453384,23849453,BinarySearch,books_200M_uint32
ALEX,2048,531.612,1729776,10793593,BinarySearch,books_200M_uint32
ALEX,4096,585.56,876128,5575690,BinarySearch,books_200M_uint32
ALEX,8192,640.307,440144,2645632,BinarySearch,books_200M_uint32
RMICppRobust,1,460.251,3104,37097898716,BinarySearch,books_200M_uint32
RMICppRobust,2,420.069,6176,37105039987,BinarySearch,books_200M_uint32
RMICppRobust,3,402.507,12320,37103375513,BinarySearch,books_200M_uint32
RMICppRobust,4,367.704,24608,37111083666,BinarySearch,books_200M_uint32
RMICppRobust,5,363.813,49184,37119613283,BinarySearch,books_200M_uint32
RMICppRobust,6,342.149,98336,37133320172,BinarySearch,books_200M_uint32
RMICppRobust,7,326.062,196640,37146790177,BinarySearch,books_200M_uint32
RMICppRobust,8,316.712,393248,37160489776,BinarySearch,books_200M_uint32
RMICppRobust,9,298.336,786464,37174628988,BinarySearch,books_200M_uint32
RMICppRobust,10,291.134,1572896,37204258457,BinarySearch,books_200M_uint32
RBS,28,126.407,1073741828,869412429,BinarySearch,books_200M_uint32
RBS,26,163.946,268435460,419684485,BinarySearch,books_200M_uint32
