RMI,0,83.8377,3145744,0,BinarySearch,normal_200M_uint32
RMI,1,93.7751,1835008,0,BinarySearch,normal_200M_uint32
RMI,2,79.9214,786448,0,BinarySearch,normal_200M_uint32
RMI,3,80.9205,393232,0,BinarySearch,normal_200M_uint32
RMI,4,181.776,196624,0,BinarySearch,normal_200M_uint32
RMI,5,190.34,98320,0,BinarySearch,normal_200M_uint32
RMI,6,257.918,24592,0,BinarySearch,normal_200M_uint32
RMI,7,308.697,12304,0,BinarySearch,normal_200M_uint32
RMI,8,372.853,6160,0,BinarySearch,normal_200M_uint32
RMI,9,450.973,3088,0,BinarySearch,normal_200M_uint32
RS,10,133.804,268617084,1555507188,BinarySearch,normal_200M_uint32
RS,9,133.458,268617084,1544959151,BinarySearch,normal_200M_uint32
RS,8,123.253,134399356,1488872922,BinarySearch,normal_200M_uint32
RS,7,115.412,67290492,1422031493,BinarySearch,normal_200M_uint32
RS,6,96.0838,8570236,1400561559,BinarySearch,normal_200M_uint32
RS,5,93.5437,4375932,1397446599,BinarySearch,normal_200M_uint32
RS,4,92.9346,1230204,1412235731,BinarySearch,normal_200M_uint32
RS,3,92.6382,443772,1387491884,BinarySearch,normal_200M_uint32
RS,2,93.6661,312700,1407989063,BinarySearch,normal_200M_uint32
RS,1,148.296,76092,1397909707,BinarySearch,normal_200M_uint32
PGM,16,240.485,31488,5770681511,BinarySearch,normal_200M_uint32
PGM,4,157.086,62768,5443331533,BinarySearch,normal_200M_uint32
PGM,8,189.144,44384,5453850502,BinarySearch,normal_200M_uint32
PGM,32,295.505,22304,5766664361,BinarySearch,normal_200M_uint32
PGM,64,344.539,15888,5856234946,BinarySearch,normal_200M_uint32
PGM,256,426.62,8112,6354325364,BinarySearch,normal_200M_uint32
PGM,1024,528.378,4208,6722016067,BinarySearch,normal_200M_uint32
PGM,2048,582.515,3024,7040014415,BinarySearch,normal_200M_uint32
PGM,4096,648.369,2224,7243553457,BinarySearch,normal_200M_uint32
PGM,8192,721.056,1648,7738833735,BinarySearch,normal_200M_uint32
BTree,32,536.935,87075880,68910533,BinarySearch,normal_200M_uint32
BTree,1,641.036,2786395632,2188836685,BinarySearch,normal_200M_uint32
BTree,4,579.415,696599768,503309711,BinarySearch,normal_200M_uint32
BTree,16,532.137,174150608,86544394,BinarySearch,normal_200M_uint32
BTree,64,553.266,43538112,16512779,BinarySearch,normal_200M_uint32
BTree,128,562.104,21769360,8029412,BinarySearch,normal_200M_uint32
BTree,512,553.121,5443072,1791321,BinarySearch,normal_200M_uint32
BTree,1024,581.13,2721576,733171,BinarySearch,normal_200M_uint32
BTree,4096,656.098,680928,171191,BinarySearch,normal_200M_uint32
BTree,16384,772.766,170960,55862,BinarySearch,normal_200M_uint32
BTree,65536,895.601,43072,20620,BinarySearch,normal_200M_uint32
BTree,262144,1011.94,11232,7154,BinarySearch,normal_200M_uint32
IBTree,1,393.165,2421989256,1721557118,BinarySearch,normal_200M_uint32
IBTree,32,424.457,75693848,405545305,BinarySearch,normal_200M_uint32
IBTree,64,422.656,37850024,229479165,BinarySearch,normal_200M_uint32
IBTree,128,439.905,18926568,193550938,BinarySearch,normal_200M_uint32
IBTree,256,465.663,9464840,194977227,BinarySearch,normal_200M_uint32
IBTree,512,493.744,4733976,158756041,BinarySearch,normal_200M_uint32
IBTree,1024,525.946,2368544,138406028,BinarySearch,normal_200M_uint32
IBTree,2048,583.773,1188920,127312133,BinarySearch,normal_200M_uint32
IBTree,4096,616.073,592920,121879351,BinarySearch,normal_200M_uint32
IBTree,8192,660.952,299560,120220730,BinarySearch,normal_200M_uint32
FAST,1,509.073,1706666880,8137992532,BinarySearch,normal_200M_uint32
FAST,16,499.034,106666880,504484704,BinarySearch,normal_200M_uint32
FAST,256,505.671,6666880,25254588,BinarySearch,normal_200M_uint32
FAST,512,524.58,3333632,11139861,BinarySearch,normal_200M_uint32
FAST,768,534.501,2222592,7206422,BinarySearch,normal_200M_uint32
FAST,1024,554.433,1666944,5325475,BinarySearch,normal_200M_uint32
FAST,1526,585.933,1118592,3717409,BinarySearch,normal_200M_uint32
FAST,2048,601.37,833664,2666484,BinarySearch,normal_200M_uint32
FAST,4096,631.788,416768,1374648,BinarySearch,normal_200M_uint32
FAST,8192,688.798,208512,703972,BinarySearch,normal_200M_uint32
ALEX,1,258.615,3464519800,27423751099,BinarySearch,normal_200M_uint32
ALEX,4,256.235,866291412,6626302888,BinarySearch,normal_200M_uint32
ALEX,8,260.367,433250304,3179307329,BinarySearch,normal_200M_uint32
ALEX,16,294.973,216725564,1588972189,BinarySearch,normal_200M_uint32
ALEX,32,356.795,108383272,735803753,BinarySearch,normal_200M_uint32
ALEX,64,393.986,54251012,359532609,BinarySearch,normal_200M_uint32
ALEX,128,434.262,27181788,175087209,BinarySearch,normal_200M_uint32
ALEX,256,449.089,13643908,84904924,BinarySearch,normal_200M_uint32
ALEX,512,471.777,6875584,41992790,BinarySearch,normal_200M_uint32
ALEX,1024,490.385,3448108,20070258,BinarySearch,normal_200M_uint32
ALEX,2048,538.505,1750052,10486270,BinarySearch,normal_200M_uint32
ALEX,4096,588.003,896296,5607640,BinarySearch,normal_200M_uint32
ALEX,8192,642.484,462908,3150949,BinarySearch,normal_200M_uint32
Wormhole,512,1053.18,10937472,3062,BinarySearch,normal_200M_uint32
Wormhole,1024,995.362,5468736,1290,BinarySearch,normal_200M_uint32
Wormhole,2048,986.62,2734368,1134,BinarySearch,normal_200M_uint32
Wormhole,4096,991.917,1367184,872,BinarySearch,normal_200M_uint32
